unitid,Year,UG FT,UG PT,UG total enrollment,UG total FTE ,GR FT,GR PT,GR total enrollment,GR total FTE,Total enrollment,Total FTE
100654,2001,4314,357,4671,4458,531,647,1178,765,5849,5223
100663,2001,6778,3176,9954,8060,2882,1859,4741,3554,14695,11614
100690,2001,146,9,155,150,102,131,233,156,388,306
100706,2001,3397,2069,5466,4232,467,821,1288,764,6754,4996
100724,2001,4135,576,4711,4367,186,693,879,437,5590,4804
100751,2001,13515,1686,15201,14195,2601,1328,3929,3082,19130,17277
100760,2001,950,704,1654,1230,0,0,0,0,1654,1230
100812,2001,1068,1506,2574,1676,0,0,0,0,2574,1676
100830,2001,2541,1625,4166,3197,243,573,816,450,4982,3647
100858,2001,17096,1826,18922,17833,2145,1402,3547,2658,22469,20491
100919,2001,599,876,1475,947,0,0,0,0,1475,947
100937,2001,1279,68,1347,1306,43,34,77,56,1424,1362
100973,2001,123,92,215,160,0,0,0,0,215,160
101028,2001,871,1018,1889,1275,0,0,0,0,1889,1275
101073,2001,618,163,781,682,0,0,0,0,781,682
101107,2001,373,82,455,406,0,0,0,0,455,406
101116,2001,148,92,240,184,0,0,0,0,240,184
101143,2001,883,679,1562,1153,0,0,0,0,1562,1153
101161,2001,1985,984,2969,2376,0,0,0,0,2969,2376
101189,2001,1698,640,2338,1949,158,144,302,236,2640,2185
101231,2001,259,,259,259,0,0,0,0,259,259
101240,2001,3403,3312,6715,4718,0,0,0,0,6715,4718
101286,2001,2795,1267,4062,3298,0,0,0,0,4062,3298
101295,2001,2724,2242,4966,3614,0,0,0,0,4966,3614
101301,2001,954,620,1574,1200,0,0,0,0,1574,1200
101347,2001,679,531,1210,890,0,0,0,0,1210,890
101365,2001,422,109,531,465,0,0,0,0,531,465
101435,2001,577,38,615,592,0,0,0,0,615,592
101453,2001,58,72,130,86,7,10,17,11,147,97
101462,2001,370,301,671,490,0,0,0,0,671,490
101471,2001,417,157,574,479,0,0,0,0,574,479
101480,2001,5451,1418,6869,6023,361,1106,1467,761,8336,6784
101499,2001,779,484,1263,971,0,0,0,0,1263,971
101505,2001,2406,3944,6350,3972,0,0,0,0,6350,3972
101514,2001,3180,4985,8165,5159,0,0,0,0,8165,5159
101523,2001,553,553,1106,773,0,0,0,0,1106,773
101541,2001,289,56,345,311,0,0,0,0,345,311
101569,2001,1228,633,1861,1479,0,0,0,0,1861,1479
101587,2001,1503,122,1625,1552,176,173,349,239,1974,1791
101602,2001,583,200,783,662,0,0,0,0,783,662
101648,2001,176,,176,176,0,0,0,0,176,176
101675,2001,1485,152,1637,1545,0,0,0,0,1637,1545
101693,2001,1380,423,1803,1546,23,161,184,85,1987,1631
101709,2001,2296,263,2559,2402,135,241,376,222,2935,2624
101736,2001,2308,1814,4122,3028,0,0,0,0,4122,3028
101879,2001,4080,772,4852,4392,118,552,670,318,5522,4710
101897,2001,933,781,1714,1243,0,0,0,0,1714,1243
101912,2001,1582,196,1778,1659,0,0,0,0,1778,1659
101949,2001,849,352,1201,989,0,0,0,0,1201,989
101958,2001,76,27,103,87,0,0,0,0,103,87
101994,2001,418,323,741,546,0,0,0,0,741,546
102030,2001,2502,1931,4433,3269,0,0,0,0,4433,3269
102049,2001,2679,211,2890,2762,1242,245,1487,1339,4377,4101
102067,2001,3140,2283,5423,4046,0,0,0,0,5423,4046
102076,2001,1062,617,1679,1307,0,0,0,0,1679,1307
102094,2001,5979,3593,9572,7429,1619,931,2550,1956,12122,9385
102216,2001,54,30,84,66,0,0,0,0,84,66
102234,2001,1022,222,1244,1109,20,219,239,104,1483,1213
102261,2001,152,48,200,171,0,0,0,0,200,171
102270,2001,1478,35,1513,1492,0,0,0,0,1513,1492
102298,2001,503,37,540,518,0,0,0,0,540,518
102313,2001,346,254,600,447,0,0,0,0,600,447
102322,2001,668,831,1499,1003,76,280,356,177,1855,1180
102359,2001,862,1834,2696,1602,162,265,427,258,3123,1860
102368,2001,5188,3195,8383,6477,1917,3360,5277,3132,13660,9609
102377,2001,2354,159,2513,2416,313,54,367,334,2880,2750
102395,2001,,,0,0,77,219,296,161,296,161
102429,2001,2226,1278,3504,2733,0,0,0,0,3504,2733
102553,2001,5929,8475,14404,9349,211,425,636,365,15040,9714
102580,2001,34,3,37,35,0,0,0,0,37,35
102614,2001,3193,3116,6309,4450,526,307,833,637,7142,5087
102632,2001,783,2436,3219,1766,40,48,88,57,3307,1823
102669,2001,301,153,454,361,98,101,199,137,653,498
102711,2001,189,31,220,199,0,0,0,0,220,199
102845,2001,150,245,395,246,0,0,0,0,395,246
103361,2001,73,709,782,355,0,0,0,0,782,355
103440,2001,131,27,158,142,0,0,0,0,158,142
103501,2001,388,,388,388,0,0,0,0,388,388
103644,2001,240,,240,240,0,0,0,0,240,240
103723,2001,2052,,2052,2052,0,0,0,0,2052,2052
103732,2001,49,,49,49,0,0,0,0,49,49
103741,2001,174,,174,174,0,0,0,0,174,174
103778,2001,,,0,0,1228,320,1548,1350,1548,1350
103787,2001,64,10,74,68,0,0,0,0,74,68
103811,2001,198,,198,198,0,0,0,0,198,198
103893,2001,1240,,1240,1240,0,0,0,0,1240,1240
103945,2001,15,,15,15,0,0,0,0,15,15
103954,2001,70,,70,70,0,0,0,0,70,70
103963,2001,277,,277,277,0,0,0,0,277,277
104090,2001,249,,249,249,0,0,0,0,249,249
104151,2001,27967,7224,35191,30882,6139,4363,10502,7719,45693,38601
104160,2001,1613,4476,6089,3390,0,0,0,0,6089,3390
104179,2001,23324,4208,27532,25022,5522,2693,8215,6497,35747,31519
104188,2001,344,,344,344,0,0,0,0,344,344
104294,2001,92,,92,92,0,0,0,0,92,92
104346,2001,1309,4019,5328,2905,0,0,0,0,5328,2905
104364,2001,343,,343,343,0,0,0,0,343,343
104391,2001,66,,66,66,0,0,0,0,66,66
104425,2001,1675,4197,5872,3341,0,0,0,0,5872,3341
104434,2001,48,,48,48,0,0,0,0,48,48
104443,2001,56,,56,56,0,0,0,0,56,56
104504,2001,51,15,66,57,0,0,0,0,66,57
104522,2001,17,12,29,22,0,0,0,0,29,22
104531,2001,2347,703,3050,2623,0,0,0,0,3050,2623
104568,2001,68,17,85,75,0,0,0,0,85,75
104577,2001,1512,4861,6373,3442,0,0,0,0,6373,3442
104586,2001,1568,156,1724,1629,5,11,16,9,1740,1638
104708,2001,5149,14626,19775,10956,0,0,0,0,19775,10956
104717,2001,1284,325,1609,1412,53,2451,2504,989,4113,2401
104805,2001,1189,,1189,1189,0,0,0,0,1189,1189
104911,2001,36,51,87,56,0,0,0,0,87,56
104984,2001,130,,130,130,0,0,0,0,130,130
105118,2001,285,,285,285,0,0,0,0,285,285
105127,2001,91,,91,91,0,0,0,0,91,91
105145,2001,558,7402,7960,3497,0,0,0,0,7960,3497
105154,2001,6890,16672,23562,13510,0,0,0,0,23562,13510
105163,2001,280,,280,280,0,0,0,0,280,280
105172,2001,413,4,417,415,0,0,0,0,417,415
105206,2001,688,4591,5279,2511,0,0,0,0,5279,2511
105215,2001,1247,,1247,1247,0,0,0,0,1247,1247
105242,2001,60,,60,60,0,0,0,0,60,60
105297,2001,623,1062,1685,1045,0,0,0,0,1685,1045
105330,2001,11505,2235,13740,12407,1708,4280,5988,3256,19728,15663
105349,2001,815,4269,5084,2510,0,0,0,0,5084,2510
105367,2001,481,882,1363,827,70,978,1048,444,2411,1271
105419,2001,139,,139,139,0,0,0,0,139,139
105428,2001,2737,9559,12296,6532,0,0,0,0,12296,6532
105482,2001,139,,139,139,0,0,0,0,139,139
105516,2001,4551,,4551,4551,3035,0,3035,3035,7586,7586
105525,2001,7731,20445,28176,15849,0,0,0,0,28176,15849
105534,2001,648,,648,648,0,0,0,0,648,648
105543,2001,447,,447,447,0,0,0,0,447,447
105589,2001,736,91,827,772,146,32,178,158,1005,930
105659,2001,130,100,230,170,0,0,0,0,230,170
105668,2001,964,11412,12376,5495,0,0,0,0,12376,5495
105677,2001,33,,33,33,0,0,0,0,33,33
105701,2001,41,,41,41,0,0,0,0,41,41
105747,2001,2996,8332,11328,6304,0,0,0,0,11328,6304
105792,2001,711,2695,3406,1781,0,0,0,0,3406,1781
105880,2001,,,0,0,69,0,69,69,69,69
105899,2001,69,33,102,82,0,0,0,0,102,82
105987,2001,158,,158,158,0,0,0,0,158,158
106041,2001,1777,,1777,1777,0,0,0,0,1777,1777
106050,2001,107,,107,107,0,0,0,0,107,107
106102,2001,966,,966,966,356,0,356,356,1322,1322
106111,2001,91,,91,91,0,0,0,0,91,91
106148,2001,1219,6943,8162,3976,0,0,0,0,8162,3976
106245,2001,5447,3737,9184,6955,881,1253,2134,1338,11318,8293
106263,2001,498,175,673,569,1053,210,1263,1130,1936,1699
106281,2001,17,1,18,17,0,0,0,0,18,17
106306,2001,153,82,235,185,0,0,0,0,235,185
106315,2001,30,,30,30,0,0,0,0,30,30
106342,2001,486,35,521,500,0,0,0,0,521,500
106351,2001,51,,51,51,0,0,0,0,51,51
106360,2001,43,,43,43,0,0,0,0,43,43
106397,2001,10825,1993,12818,11629,1425,1509,2934,1971,15752,13600
106412,2001,2729,323,3052,2859,14,78,92,42,3144,2901
106449,2001,1464,1389,2853,2016,0,0,0,0,2853,2016
106458,2001,7513,1913,9426,8285,246,896,1142,570,10568,8855
106467,2001,4377,828,5205,4711,126,245,371,215,5576,4926
106476,2001,304,159,463,357,0,0,0,0,463,357
106485,2001,1812,296,2108,1931,19,205,224,93,2332,2024
106494,2001,137,,137,137,0,0,0,0,137,137
106546,2001,459,155,614,521,0,0,0,0,614,521
106607,2001,31,,31,31,0,0,0,0,31,31
106625,2001,873,589,1462,1107,0,0,0,0,1462,1107
106704,2001,6987,553,7540,7210,417,529,946,608,8486,7818
106713,2001,318,40,358,334,0,0,0,0,358,334
106759,2001,29,8,37,32,0,0,0,0,37,32
106795,2001,369,521,890,576,0,0,0,0,890,576
106801,2001,280,19,299,286,0,0,0,0,299,286
106810,2001,108,46,154,126,0,0,0,0,154,126
106829,2001,170,53,223,188,0,0,0,0,223,188
106838,2001,25,,25,25,0,0,0,0,25,25
106883,2001,732,568,1300,958,0,0,0,0,1300,958
106892,2001,236,,236,236,0,0,0,0,236,236
106908,2001,19,,19,19,0,0,0,0,19,19
106935,2001,197,51,248,214,0,0,0,0,248,214
106944,2001,86,68,154,109,0,0,0,0,154,109
106980,2001,949,1491,2440,1541,0,0,0,0,2440,1541
106999,2001,617,619,1236,863,0,0,0,0,1236,863
107017,2001,117,52,169,134,0,0,0,0,169,134
107035,2001,,,0,0,55,128,183,112,183,112
107044,2001,3818,260,4078,3920,141,458,599,316,4677,4236
107071,2001,2783,352,3135,2925,68,262,330,163,3465,3088
107080,2001,1068,11,1079,1072,6,0,6,6,1085,1078
107099,2001,46,,46,46,0,0,0,0,46,46
107123,2001,47,,47,47,0,0,0,0,47,47
107141,2001,1442,95,1537,1479,26,112,138,69,1675,1548
107211,2001,39,,39,39,0,0,0,0,39,39
107220,2001,65,,65,65,0,0,0,0,65,65
107275,2001,14,,14,14,0,0,0,0,14,14
107293,2001,25,,25,25,0,0,0,0,25,25
107318,2001,301,693,994,576,0,0,0,0,994,576
107327,2001,1046,794,1840,1361,0,0,0,0,1840,1361
107363,2001,19,,19,19,0,0,0,0,19,19
107442,2001,64,,64,64,0,0,0,0,64,64
107460,2001,1081,808,1889,1402,0,0,0,0,1889,1402
107488,2001,284,847,1131,568,0,0,0,0,1131,568
107512,2001,1581,29,1610,1592,0,0,0,0,1610,1592
107521,2001,420,548,968,638,0,0,0,0,968,638
107549,2001,364,370,734,511,0,0,0,0,734,511
107558,2001,627,27,654,638,0,0,0,0,654,638
107585,2001,876,429,1305,1046,0,0,0,0,1305,1046
107600,2001,658,201,859,737,0,0,0,0,859,737
107619,2001,852,1415,2267,1414,0,0,0,0,2267,1414
107637,2001,910,1248,2158,1406,0,0,0,0,2158,1406
107655,2001,56,14,70,62,0,0,0,0,70,62
107664,2001,2360,2606,4966,3395,0,0,0,0,4966,3395
107673,2001,153,76,229,179,0,0,0,0,229,179
107725,2001,675,462,1137,858,0,0,0,0,1137,858
107743,2001,350,644,994,606,0,0,0,0,994,606
107789,2001,29,21,50,37,0,0,0,0,50,37
107831,2001,50,22,72,59,0,0,0,0,72,59
107877,2001,505,183,688,577,0,0,0,0,688,577
107886,2001,18,,18,18,0,0,0,0,18,18
107974,2001,520,517,1037,725,0,0,0,0,1037,725
107983,2001,2473,390,2863,2630,27,237,264,113,3127,2743
107992,2001,444,452,896,623,0,0,0,0,896,623
108065,2001,8,13,21,13,0,0,0,0,21,13
108092,2001,2541,3205,5746,3834,0,0,0,0,5746,3834
108232,2001,3484,2051,5535,4290,568,179,747,636,6282,4926
108250,2001,533,,533,533,0,0,0,0,533,533
108269,2001,,,0,0,158,19,177,165,177,165
108287,2001,231,,231,231,0,0,0,0,231,231
108348,2001,112,,112,112,0,0,0,0,112,112
108393,2001,203,,203,203,0,0,0,0,203,203
108649,2001,94,,94,94,0,0,0,0,94,94
108667,2001,1123,4271,5394,2819,0,0,0,0,5394,2819
108807,2001,2777,9771,12548,6657,0,0,0,0,12548,6657
108852,2001,183,,183,183,0,0,0,0,183,183
108861,2001,,,0,0,25,51,76,53,76,53
108870,2001,,,0,0,288,0,288,288,288,288
108977,2001,16,8,24,19,0,0,0,0,24,19
109013,2001,438,124,562,487,172,103,275,211,837,698
109040,2001,1292,,1292,1292,0,0,0,0,1292,1292
109086,2001,8,,8,8,44,0,44,44,52,52
109208,2001,7381,22862,30243,16459,0,0,0,0,30243,16459
109332,2001,198,198,396,277,0,0,0,0,396,277
109350,2001,2958,7628,10586,5987,0,0,0,0,10586,5987
109651,2001,1377,,1377,1377,88,0,88,88,1465,1465
109721,2001,293,,293,293,0,0,0,0,293,293
109730,2001,133,,133,133,0,0,0,0,133,133
109749,2001,55,,55,55,0,0,0,0,55,55
109785,2001,3569,85,3654,3602,1302,1879,3181,2028,6835,5630
109819,2001,5302,10111,15413,9317,0,0,0,0,15413,9317
109907,2001,824,2149,2973,1677,0,0,0,0,2973,1677
109934,2001,131,,131,131,0,0,0,0,131,131
110051,2001,376,143,519,432,25,33,58,38,577,470
110060,2001,108,108,216,150,45,1,46,45,262,195
110097,2001,2676,273,2949,2783,534,834,1368,873,4317,3656
110176,2001,1853,,1853,1853,0,0,0,0,1853,1853
110185,2001,914,,914,914,26,0,26,26,940,940
110194,2001,78,,78,78,0,0,0,0,78,78
110219,2001,121,104,225,162,0,0,0,0,225,162
110246,2001,5062,7607,12669,8082,0,0,0,0,12669,8082
110307,2001,,,0,0,205,1,206,205,206,205
110316,2001,37,,37,37,367,523,890,567,927,604
110325,2001,443,,443,443,0,0,0,0,443,443
110334,2001,4189,9984,14173,8153,0,0,0,0,14173,8153
110361,2001,1264,316,1580,1388,125,385,510,272,2090,1660
110370,2001,1017,146,1163,1074,122,5,127,124,1290,1198
110398,2001,,,0,0,1252,0,1252,1252,1252,1252
110404,2001,942,,942,942,1116,0,1116,1116,2058,2058
110413,2001,1631,215,1846,1715,502,509,1011,696,2857,2411
110422,2001,16133,981,17114,16529,568,397,965,712,18079,17241
110440,2001,,,0,0,284,75,359,313,359,313
110459,2001,,,0,0,552,78,630,582,630,582
110468,2001,484,34,518,497,794,604,1398,1025,1916,1522
110477,2001,,,0,0,458,135,593,510,593,510
110486,2001,4164,1110,5274,4612,805,971,1776,1156,7050,5768
110495,2001,3886,1808,5694,4616,787,1053,1840,1168,7534,5784
110510,2001,9129,2008,11137,9939,1742,3106,4848,2865,15985,12804
110529,2001,13791,3186,16977,15077,637,1427,2064,1153,19041,16230
110538,2001,13279,1494,14773,13882,1167,764,1931,1443,16704,15325
110547,2001,4675,3293,7968,6004,1489,3414,4903,2724,12871,8728
110556,2001,12919,3340,16259,14267,1863,1885,3748,2545,20007,16812
110565,2001,17609,7652,25261,20697,2170,2926,5096,3228,30357,23925
110574,2001,7238,2560,9798,8271,1376,2066,3442,2123,13240,10394
110583,2001,21384,6339,27723,23942,2171,3365,5536,3388,33259,27330
110592,2001,10122,4028,14150,11747,2069,4456,6525,3681,20675,15428
110608,2001,18501,6313,24814,21049,2291,4343,6634,3862,31448,24911
110617,2001,16198,5588,21786,18453,2399,2738,5137,3389,26923,21842
110635,2001,21686,1583,23269,22325,7811,1048,8859,8194,32128,30519
110644,2001,18728,2628,21356,19789,5586,350,5936,5713,27292,25502
110653,2001,16971,752,17723,17274,3725,437,4162,3883,21885,21157
110662,2001,24108,1220,25328,24600,11772,394,12166,11915,37494,36515
110671,2001,11444,1270,12714,11956,1601,114,1715,1642,14429,13598
110680,2001,16756,749,17505,17058,3863,190,4053,3932,21558,20990
110699,2001,34,,34,34,3540,0,3540,3540,3574,3574
110705,2001,16990,734,17724,17286,2462,187,2649,2530,20373,19816
110714,2001,11382,652,12034,11645,1072,64,1136,1095,13170,12740
110778,2001,,,0,0,291,57,348,313,348,313
110875,2001,72,4,76,74,0,0,0,0,76,74
110918,2001,53,20,73,61,0,0,0,0,73,61
110945,2001,59,,59,59,0,0,0,0,59,59
110981,2001,,,0,0,248,6,254,250,254,250
111009,2001,839,,839,839,0,0,0,0,839,839
111054,2001,102,1,103,102,0,0,0,0,103,102
111081,2001,817,7,824,820,418,4,422,420,1246,1240
111188,2001,545,61,606,570,0,0,0,0,606,570
111230,2001,192,,192,192,0,0,0,0,192,192
111391,2001,,,0,0,684,113,797,745,797,745
111434,2001,1118,4284,5402,2819,0,0,0,0,5402,2819
111461,2001,4164,8287,12451,7454,0,0,0,0,12451,7454
111513,2001,68,72,140,97,0,0,0,0,140,97
111638,2001,281,65,346,307,0,0,0,0,346,307
111708,2001,135,,135,135,0,0,0,0,135,135
111717,2001,485,,485,485,0,0,0,0,485,485
111726,2001,296,,296,296,0,0,0,0,296,296
111744,2001,128,,128,128,0,0,0,0,128,128
111762,2001,181,,181,181,0,0,0,0,181,181
111771,2001,142,,142,142,0,0,0,0,142,142
111799,2001,95,,95,95,0,0,0,0,95,95
111887,2001,5980,17391,23371,12885,0,0,0,0,23371,12885
111896,2001,1024,4200,5224,2692,0,0,0,0,5224,2692
111920,2001,3695,10278,13973,7776,0,0,0,0,13973,7776
111939,2001,4888,12895,17783,10008,0,0,0,0,17783,10008
111948,2001,2922,224,3146,3010,618,827,1445,952,4591,3962
111966,2001,77,11,88,81,0,7,7,3,95,84
112075,2001,1009,103,1112,1049,133,69,202,159,1314,1208
112084,2001,582,92,674,618,0,0,0,0,674,618
112127,2001,,,0,0,68,63,131,96,131,96
112172,2001,4549,7351,11900,7468,0,0,0,0,11900,7468
112190,2001,7225,31113,38338,19579,0,0,0,0,38338,19579
112233,2001,1265,,1265,1265,503,0,503,503,1768,1768
112251,2001,,,0,0,1193,751,1944,1480,1944,1480
112260,2001,1041,3,1044,1042,0,0,0,0,1044,1042
112288,2001,260,,260,260,0,0,0,0,260,260
112312,2001,66,72,138,94,474,23,497,487,635,581
112367,2001,252,123,375,293,0,0,0,0,375,293
112385,2001,497,7333,7830,3409,0,0,0,0,7830,3409
112394,2001,197,216,413,282,0,0,0,0,413,282
112446,2001,868,206,1074,949,14,0,14,14,1088,963
112455,2001,88,,88,88,0,0,0,0,88,88
112516,2001,308,,308,308,0,0,0,0,308,308
112525,2001,,,0,0,1427,8,1435,1430,1435,1430
112561,2001,769,2206,2975,1645,0,0,0,0,2975,1645
112570,2001,109,,109,109,0,0,0,0,109,109
112686,2001,2516,6899,9415,5255,0,0,0,0,9415,5255
112783,2001,230,,230,230,0,0,0,0,230,230
112826,2001,1820,5612,7432,4048,0,0,0,0,7432,4048
113096,2001,4060,14172,18232,9687,0,0,0,0,18232,9687
113111,2001,1579,3544,5123,2986,0,0,0,0,5123,2986
113193,2001,4280,5543,9823,6481,0,0,0,0,9823,6481
113218,2001,1800,5515,7315,3990,0,0,0,0,7315,3990
113227,2001,272,,272,272,0,0,0,0,272,272
113236,2001,4951,8945,13896,8503,0,0,0,0,13896,8503
113245,2001,54,139,193,109,0,0,0,0,193,109
113333,2001,9015,15171,24186,15039,0,0,0,0,24186,15039
113397,2001,72,30,102,84,0,0,0,0,102,84
113528,2001,256,16,272,262,0,0,0,0,272,262
113537,2001,37,,37,37,0,0,0,0,37,37
113573,2001,2521,4942,7463,4483,0,0,0,0,7463,4483
113582,2001,187,212,399,270,0,0,0,0,399,270
113607,2001,2583,1086,3669,3010,0,0,0,0,3669,3010
113634,2001,6944,13886,20830,12458,0,0,0,0,20830,12458
113698,2001,672,274,946,780,271,219,490,355,1436,1135
113704,2001,12,4,16,14,55,27,82,66,98,80
113713,2001,168,123,291,217,0,0,0,0,291,217
113856,2001,5846,21746,27592,14480,0,0,0,0,27592,14480
113865,2001,213,729,942,458,0,0,0,0,942,458
113908,2001,89,,89,89,0,0,0,0,89,89
113980,2001,7064,17853,24917,14153,0,0,0,0,24917,14153
114044,2001,21,,21,21,0,0,0,0,21,21
114062,2001,26,10,36,30,0,0,0,0,36,30
114071,2001,42,,42,42,0,0,0,0,42,42
114080,2001,52,,52,52,0,0,0,0,52,52
114114,2001,,,0,0,202,133,335,253,335,253
114123,2001,1118,65,1183,1144,0,0,0,0,1183,1144
114266,2001,2023,8964,10987,5582,0,0,0,0,10987,5582
114345,2001,42,,42,42,0,0,0,0,42,42
114354,2001,2416,457,2873,2597,0,0,0,0,2873,2597
114372,2001,99,,99,99,0,0,0,0,99,99
114390,2001,596,136,732,650,0,0,0,0,732,650
114415,2001,326,18,344,333,0,0,0,0,344,333
114433,2001,443,1530,1973,1050,0,0,0,0,1973,1050
114460,2001,123,11,134,127,0,0,0,0,134,127
114549,2001,,,0,0,1459,0,1459,1459,1459,1459
114585,2001,,,0,0,198,5,203,200,203,200
114716,2001,4279,10572,14851,8477,0,0,0,0,14851,8477
114734,2001,,,0,0,61,34,95,75,95,75
114761,2001,42,,42,42,0,0,0,0,42,42
114789,2001,6944,12944,19888,12084,0,0,0,0,19888,12084
114813,2001,959,121,1080,1007,158,778,936,455,2016,1462
114840,2001,,,0,0,824,1775,2599,1591,2599,1591
114859,2001,7236,13692,20928,12673,0,0,0,0,20928,12673
114886,2001,104,,104,104,0,0,0,0,104,104
114895,2001,195,,195,195,0,0,0,0,195,195
114901,2001,15,,15,15,0,0,0,0,15,15
114938,2001,1478,3749,5227,2967,0,0,0,0,5227,2967
114947,2001,166,3361,3527,1501,0,0,0,0,3527,1501
115001,2001,4220,12880,17100,9334,0,0,0,0,17100,9334
115010,2001,537,533,1070,749,0,0,0,0,1070,749
115047,2001,,,0,0,253,145,398,332,398,332
115083,2001,178,893,1071,529,1032,2740,3772,2123,4843,2652
115126,2001,4062,10223,14285,8121,0,0,0,0,14285,8121
115214,2001,,,0,0,262,28,290,273,290,273
115296,2001,6631,10852,17483,10940,0,0,0,0,17483,10940
115357,2001,48,,48,48,0,0,0,0,48,48
115393,2001,2493,6964,9457,5258,0,0,0,0,9457,5258
115409,2001,703,3,706,704,1,0,1,1,707,705
115454,2001,664,,664,664,0,0,0,0,664,664
115472,2001,691,1,692,691,0,0,0,0,692,691
115481,2001,163,10,173,167,0,0,0,0,173,167
115490,2001,1070,,1070,1070,0,0,0,0,1070,1070
115515,2001,899,,899,899,0,0,0,0,899,899
115533,2001,1200,35,1235,1214,0,0,0,0,1235,1214
115658,2001,44,79,123,75,0,0,0,0,123,75
115728,2001,300,206,506,381,107,219,326,191,832,572
115746,2001,,,0,0,545,20,565,553,565,553
115755,2001,5811,731,6542,6106,523,317,840,638,7382,6744
115773,2001,446,182,628,517,26,4,30,28,658,545
115782,2001,7,25,32,17,0,0,0,0,32,17
115861,2001,2561,4334,6895,4282,0,0,0,0,6895,4282
115931,2001,258,,258,258,0,0,0,0,258,258
116040,2001,286,,286,286,0,0,0,0,286,286
116226,2001,99,299,398,216,0,0,0,0,398,216
116235,2001,191,,191,191,0,0,0,0,191,191
116350,2001,26,27,53,37,0,0,0,0,53,37
116439,2001,2150,8307,10457,5448,0,0,0,0,10457,5448
116466,2001,885,,885,885,0,0,0,0,885,885
116475,2001,806,4,810,808,0,0,0,0,810,808
116484,2001,682,15,697,688,0,0,0,0,697,688
116563,2001,350,,350,350,0,0,0,0,350,350
116624,2001,,,0,0,108,60,168,132,168,132
116712,2001,20,190,210,95,603,710,1313,877,1523,972
116846,2001,100,8,108,103,101,20,121,109,229,212
117052,2001,3785,6750,10535,6465,0,0,0,0,10535,6465
117104,2001,357,123,480,405,0,0,0,0,480,405
117113,2001,432,165,597,497,0,0,0,0,597,497
117140,2001,2112,1702,3814,2781,1539,1930,3469,2283,7283,5064
117168,2001,264,32,296,277,0,0,0,0,296,277
117186,2001,53,,53,53,0,0,0,0,53,53
117195,2001,542,2763,3305,1639,0,0,0,0,3305,1639
117238,2001,182,,182,182,0,0,0,0,182,182
117247,2001,2683,8941,11624,6233,0,0,0,0,11624,6233
117274,2001,672,1817,2489,1393,0,0,0,0,2489,1393
117520,2001,,,0,0,520,79,599,563,599,563
117575,2001,39,60,99,63,43,41,84,60,183,123
117627,2001,1130,198,1328,1208,90,148,238,147,1566,1355
117636,2001,725,254,979,825,1765,418,2183,1925,3162,2750
117645,2001,6216,13953,20169,11756,0,0,0,0,20169,11756
117672,2001,,,0,0,583,28,611,595,611,595
117690,2001,2752,6917,9669,5498,0,0,0,0,9669,5498
117706,2001,4914,13618,18532,10321,0,0,0,0,18532,10321
117715,2001,1635,5169,6804,3687,0,0,0,0,6804,3687
